"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"mattkleinkeys","Grammatically correct nonsense.",7188,253,1138,236,NA,"Matt Klein",2010-05-06 05:35:35,FALSE,FALSE,"mattkleinkeys","Minneapolis, MN","en","140702021",6,FALSE,"http://pbs.twimg.com/profile_images/914562350908309506/rvt5LTym_normal.jpg"
"RidleyLatimer","I'm a(n):Conservative, somewhere between a CrunchyCon, NeoCon, LibCon & a boring ole Con; Christian; sports fan; novice cook; slow reader; annoying wino.",4442,262,2259,2487,NA,"Latimer Ridley",2011-07-15 23:55:14,FALSE,FALSE,"RidleyLatimer","Kings Landing","en","336242407",4,FALSE,"http://pbs.twimg.com/profile_images/828104951352131584/JtD3Ydic_normal.jpg"
"Latte_17","Latrell Ì†ºÌºπ Queer Ì†ºÌø≥Ô∏è‚ÄçÌ†ºÌºà #ULM21Ì†æÌ∂Ö Snapchat:TRELLLIS",9079,599,4642,1149,NA,"Durags & RosesÌ†ºÌºπÌ†ºÌø≥Ô∏è‚ÄçÌ†ºÌºà",2015-01-29 04:39:10,FALSE,FALSE,"Latte_17","Monroe, LA","en","3000520892",2,FALSE,"http://pbs.twimg.com/profile_images/968915537622458368/5ldBCsQ6_normal.jpg"
"kiii3news","South Texas News Leader",41383,51867,1282,255,"https://t.co/Aj1wC9Je8V","KIII 3 News",2009-07-06 20:52:37,FALSE,TRUE,"kiii3news","Corpus Christi, Texas","en","54329062",371,FALSE,"http://pbs.twimg.com/profile_images/300503116/Big_3_normal.jpg"
"dvcmrNlove","",990,14,5179,69,NA,"DoveCameron loveÌ†ºÌºû",2017-09-08 13:08:06,FALSE,FALSE,"dvcmrNlove","","ja","906142100776824832",0,FALSE,"http://pbs.twimg.com/profile_images/918784134738149376/w9aesua1_normal.jpg"
"kaylynnpalm","Journalist at Eyewitness News. 
Part-time actress. 
Runner.",2625,486,102,405,NA,"Kaylynn Palm",2009-07-13 16:42:05,FALSE,FALSE,"kaylynnpalm","South Africa,Cape Town","en","56421597",28,FALSE,"http://pbs.twimg.com/profile_images/948066108313096192/t-7QmMTN_normal.jpg"
"woolybully67","Scottish Patriot seeking truth. RTs are for info sharing.
Gotta have government? Let's keep it SMALL. Politically INcorrect
#YourSilenceIsYourConsent 
#SaorAlba",24624,1601,3209,2000,NA,"‚òÜCrann Tara‚òÜ",2013-09-22 19:06:07,FALSE,FALSE,"woolybully67","Deep inside Occupied Scotland","en","1894796731",90,FALSE,"http://pbs.twimg.com/profile_images/604409345003118592/eOhzjDSM_normal.jpg"
"blues_dp","blues, instrument, color, guitar, music",18039,1314,0,1801,"http://t.co/Jfln6lNrhC","Blues DP",2014-05-16 10:07:53,FALSE,FALSE,"blues_dp","","en","2498235829",94,FALSE,"http://pbs.twimg.com/profile_images/475923037561180160/ebtYbH2H_normal.jpeg"
"seattlewa_dp","seattle, Washington, Pacific Northwest, Sea Tac, Mariners, Seahawks",12097,1321,0,1793,"http://t.co/A4xdorV0QW","Seattle WA",2014-05-16 10:02:17,FALSE,FALSE,"seattlewa_dp","","en","2498205678",79,FALSE,"http://pbs.twimg.com/profile_images/475923202133483520/tLzljFeM_normal.jpeg"
"BotafolgadoRj","Carioca, Botafoguense, publicit√°rio.",26487,408,16722,147,"https://t.co/iYK0LVqk2i","Botafolgado RJ",2008-06-20 16:03:55,FALSE,FALSE,"BotafolgadoRj","Rio de Janeiro","es","15181280",5,FALSE,"http://pbs.twimg.com/profile_images/825142119610318848/pbxm99_7_normal.jpg"
"LarryRichardBr1","Christian Retired Peace Officer. 38+year Veteran LEO.  Former Youth Pastor and Park Ranger.",1427,18,410,101,NA,"Larry Richard Bryant",2017-01-05 22:17:38,FALSE,FALSE,"LarryRichardBr1","Prunedale, CA","en","817132979495391232",0,FALSE,"http://pbs.twimg.com/profile_images/922239107572441088/ArcRqGN8_normal.jpg"
"dave_heumann","Huckleberry friend",757,247,2079,264,NA,"Dave Heumann",2015-06-17 23:37:58,FALSE,FALSE,"dave_heumann","Baltimore, MD","en","3331931249",3,FALSE,"http://pbs.twimg.com/profile_images/917429368149958657/lhCMbPjf_normal.jpg"
"InfectiousDz","Writing about Infectious Diseases here, there, and everywhere.  Posts on infectious disease in English. Retweets in Spanish, French, Portuguese, maybe more.",33108,13110,58357,5990,NA,"Infectious Diseases",2014-08-06 23:33:17,FALSE,FALSE,"InfectiousDz","NYC","en","2713172484",273,FALSE,"http://pbs.twimg.com/profile_images/516740964337999872/IaWgfADW_normal.png"
"YappyHappy_","Dog carer by day......animal rights defender for life!!!!",1444,4003,3829,4207,"http://t.co/H9DQWbG9Of","Yappy Happy",2012-11-22 22:45:29,FALSE,FALSE,"YappyHappy_","London, England","en","965086266",14,FALSE,"http://pbs.twimg.com/profile_images/584808741842857984/k02ZrIIk_normal.jpg"
"zipzlap","",214,14,892,53,"https://t.co/49J2OTjr88","grimbo grumpo",2016-10-09 01:08:13,FALSE,FALSE,"zipzlap","Baltimore, MD","en","784923384769634304",0,FALSE,"http://pbs.twimg.com/profile_images/951247027312132096/UU0kXZI3_normal.jpg"
"PlymPrivateer","I'm a lecturer in maritime history at Plymouth University. Research focus on 17th C maritime history, esp.  privateering. 
New project on Women & Navy in 17th C",3890,876,1319,1008,"https://t.co/7vpWB83YlR","Elaine Murphy",2015-06-29 12:24:09,FALSE,FALSE,"PlymPrivateer","Plymouth, England","en-gb","3350720542",32,FALSE,"http://pbs.twimg.com/profile_images/915344484963110912/8jNBCjTI_normal.jpg"
"BlackDansMam","",10989,92,19093,100,NA,"Babs",2017-01-24 17:16:16,FALSE,FALSE,"BlackDansMam","","en","823942506635202562",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"margaritaleon_","just doing my own thing with my boo thang",13596,222,8274,164,NA,"marg",2010-05-23 16:08:02,FALSE,FALSE,"margaritaleon_","Temecula, CA","en","147246127",0,FALSE,"http://pbs.twimg.com/profile_images/949712376475009026/Xz5Ms5pI_normal.jpg"
"doodoodiIigence","#mainejustice. Lady lawyer, cat lover, snarky & passive aggressive af. I don't drink coffee, especially starbucks.",11811,469,12110,341,NA,"doodoo persistence",2016-07-12 18:54:11,FALSE,FALSE,"doodoodiIigence","","en","752939126106849280",3,FALSE,"http://pbs.twimg.com/profile_images/813732944892362755/RCzbi4kv_normal.jpg"
"tinggi_info","CP: 08562019092 / 22775F91 
Jual Peninngi, Pelangsing, Penggemuk, Masker Spirulina. Harga termurah seIndonesia. Mau? langsung pesan ajahh..!!",55796,4571,0,755,NA,"Peninggi Badan Murah",2014-02-24 06:28:21,FALSE,FALSE,"tinggi_info","Bandung","en","2359072915",7,FALSE,"http://pbs.twimg.com/profile_images/646907725981478912/nTT1uypc_normal.jpg"
"mulva74","No. DM rooms. Hook ups. Idiots. 

https://t.co/sNSizvbLeJ


https://t.co/CXswRs5m35",5355,861,5423,476,NA,"Mulva74",2017-11-19 18:34:01,FALSE,FALSE,"mulva74","","en","932316043271331841",22,FALSE,"http://pbs.twimg.com/profile_images/945032773399584768/8KgNcBDN_normal.jpg"
"Weescosha","The only gift that god could gee us is  to see ourselves as other see us",28312,249,34077,151,NA,"Ronald jhon McIntosh",2010-10-30 09:15:29,FALSE,FALSE,"Weescosha","","en","209984816",39,FALSE,"http://pbs.twimg.com/profile_images/762603554683101184/oEqBVoTH_normal.jpg"
"brunolealffc","Fazendo o imposs√≠vel parecer f√°cil v√°rias vezes, causando inveja nos deuses!! @FluminenseFC @RealMadrid @Patriots @Spurs Snap/Insta: brunolealffc",108339,824,31807,724,NA,"BL7",2011-06-27 20:33:50,FALSE,FALSE,"brunolealffc","19/07 Ì†ΩÌ≤ô","pt","325151234",10,FALSE,"http://pbs.twimg.com/profile_images/971108024164278272/1-2nZ2zj_normal.jpg"
"jardellukas123","Sou da @MeninaXis ‚ù§‚ù§‚ù§ - Gal√£o ‚öΩ‚ù§‚öΩ
Ilustrador e Desenvolvedor na Empresa Plastic Tree Inc.",83519,140,15323,116,"https://t.co/15UQXpnKdI","Jardel Lucas",2010-08-01 04:43:00,FALSE,FALSE,"jardellukas123","Belo horizonte , Brazil","pt","173351156",6,FALSE,"http://pbs.twimg.com/profile_images/808664783503364097/zWHeJR___normal.jpg"
"xAnhysbys","20 | Playworker | Plethora of issues |",9113,437,5824,770,"https://t.co/kry5lkBcqD","Annie",2015-01-04 14:44:52,FALSE,FALSE,"xAnhysbys","Cardiff, Wales","en","2960339044",9,FALSE,"http://pbs.twimg.com/profile_images/970399938675990528/yzbB6--f_normal.jpg"
"Grommit56","My dogs, golf, work, general stupidity.     

https://t.co/63IUzf24Qt",86224,4420,91135,3892,"https://t.co/xm742rnG4Q","Paul",2008-10-31 06:11:43,FALSE,FALSE,"Grommit56","The Gem City.","en","17081472",92,FALSE,"http://pbs.twimg.com/profile_images/946375708376555521/coazAqIh_normal.jpg"
"Taithleach","The Fesident.",103448,2296,2580,1575,NA,"Kyle Brooks",2009-04-05 17:32:18,FALSE,FALSE,"Taithleach","Fishers In","en","29023839",25,FALSE,"http://pbs.twimg.com/profile_images/927319146290917377/XLcVylHn_normal.jpg"
"lneumannca","",2637,89,5266,558,NA,"lneumannca",2012-03-26 23:46:43,FALSE,FALSE,"lneumannca","","en","537753360",14,FALSE,"http://pbs.twimg.com/profile_images/3208668313/c098729f17ad454fc298cd2e5bb77ec4_normal.jpeg"
"wbz","Breaking News, Weather, Sports, and some interesting extras from Boston's WBZ-TV.",141912,166496,252,2829,"http://t.co/aav3LH2nK4","WBZ | CBS Boston News",2008-09-17 18:40:03,FALSE,TRUE,"wbz","Boston","en","16334139",2892,FALSE,"http://pbs.twimg.com/profile_images/888431997017661440/fj0FLr2O_normal.jpg"
"lolalapier0","the activist agenda ‚Ñ¢Ô∏è",1348,922,27929,840,NA,"lola ‚ú®Ì†ΩÌ≤õÌ†ºÌºª‚ö°Ô∏è",2017-02-26 14:44:12,FALSE,FALSE,"lolalapier0","vbva","en","835863038314033153",4,FALSE,"http://pbs.twimg.com/profile_images/967447166783541257/wd66Xt2T_normal.jpg"
"hkleonhart","Holly. Web Dev, Gamer, Crafter, Bookworm, History Junkie. Lover of many games. FF | Persona | Yakuza | Horror Games. FFVIII and FFVI are the best. Fite me.",16823,200,21113,305,"https://t.co/Ol0zTygtLt","H o l l y Ì†ºÌæÆ",2013-03-07 23:32:26,FALSE,FALSE,"hkleonhart","Cincinnati","en","1250258922",14,FALSE,"http://pbs.twimg.com/profile_images/962213010080256000/7DfWq8Qa_normal.jpg"
"_JohnnyBoy3","R.I.P Dread ‚úàÔ∏èPahokee Fl‚úà AMOSCÌ†ΩÌ±ªJohnnyboi_4 #FatherFirst",7429,422,1826,352,NA,"Jontavious Worthen",2015-02-16 23:31:16,FALSE,FALSE,"_JohnnyBoy3","","en","3041669422",1,FALSE,"http://pbs.twimg.com/profile_images/948347853231083521/b1I74nQ1_normal.jpg"
"PalmettoDelta","Sailor turned Soldier turned Civilian. Here for the banter + International & Military Affairs. Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑ÆÌ†ºÌ∑± Dum Spiro, Spero #GoDawgs",472,596,16927,606,NA,"Davis",2017-01-15 21:42:45,FALSE,FALSE,"PalmettoDelta","South Carolina, USA","en","820748080043687936",11,FALSE,"http://pbs.twimg.com/profile_images/968475464464465921/u7SX9d_L_normal.jpg"
"itscillamarie","Beauty Blogger",198,22,120,90,"https://t.co/kxLHNid452","Priscilla Marie",2015-11-23 17:02:31,FALSE,FALSE,"itscillamarie","Dallas, TX","en","4335873372",1,FALSE,"http://pbs.twimg.com/profile_images/857993464113442817/qRuU1nWt_normal.jpg"
"BobbiNJ","Happily married and living in the hills of New Jersey. Sell books & other items on ebay. Love to cook, read and watch the Braves!",69446,1464,8727,819,"http://t.co/RRkolRXhBc","Bobbi",2009-09-13 22:54:39,FALSE,FALSE,"BobbiNJ","In the hills of New Jersey","en","73995100",37,FALSE,"http://pbs.twimg.com/profile_images/914508101239427075/sFV977wU_normal.jpg"
"StrandedGirl","Nerd, twitch streamer and aspiring game Dev, who is always in dire need of a haircut. Xbox/Steam: StrandedGirl PS4: Stranded_Girl",2982,88,620,89,"https://t.co/PuPLlN7pdz","Kelly",2009-09-22 22:33:35,FALSE,FALSE,"StrandedGirl","England, United Kingdom","en","76473221",2,FALSE,"http://pbs.twimg.com/profile_images/928760495653433344/9uG0UqIm_normal.jpg"
"Columbian_Flu","",42,11,15,12,NA,"Jesse ortiz",2017-11-24 11:03:15,FALSE,FALSE,"Columbian_Flu","Pomona, CA","en","934014545072291841",0,FALSE,"http://pbs.twimg.com/profile_images/960397272805646336/8fy0-KnG_normal.jpg"
"pcketrcket","All things Black people",22542,487,6888,379,"https://t.co/lmaEI72lzY","lupita n‚Äôdykeo.",2016-07-11 14:09:01,FALSE,FALSE,"pcketrcket","DC Ì†ΩÌ≥çBaltimore            ","en","752504975146627073",1,FALSE,"http://pbs.twimg.com/profile_images/962175480983183360/seKsjUJ4_normal.jpg"
"KittyKaate","Kat // pansexual/panromantic // pisces // she/her or they/them // engaged to amber liu 02/16/2017 // if it ain't from namjoon, it ain't good",61513,1268,16477,2112,"https://t.co/DKxGif7kIF","amber liu stan #1‚Ñ¢",2010-10-22 21:45:05,FALSE,FALSE,"KittyKaate","up chris evans ass","en","206392623",22,FALSE,"http://pbs.twimg.com/profile_images/961501741266210817/kG0RlI_u_normal.jpg"
"Andrade78rj","Carioca e Tricolor.",11292,213,16818,156,NA,"Leandro Andrade",2017-10-18 01:12:41,FALSE,FALSE,"Andrade78rj","Rio de Janeiro, Brazil","pt","920457573630914560",3,FALSE,"http://pbs.twimg.com/profile_images/971202653245059073/fRToZbf9_normal.jpg"
"shihana3","‚Äè‚Äè‚Äè‚Äè‚Äè‚Äè‚Äè‚Äè‚Äè‚Äè‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé#Virology Scientist| ‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé‚Äé‚ÄéVisiting Researcher @LancasterUni| Co-F @Starfish_GCC ‚Äé@Re7latAltaghier Proud Recovering ‚Äé‚Äé‚Äé#stammerer",20402,4624,7582,1111,"https://t.co/hTIr4G4vzK","ÿØ. ÿ¥ŸäŸáÿßŸÜÿ© ÿßŸÑŸÖÿ™ÿ±ŸàŸÉ",2011-12-10 23:56:26,FALSE,FALSE,"shihana3"," Saudi Arabia ~ England","en","433751087",38,FALSE,"http://pbs.twimg.com/profile_images/952298911045226496/6pxlt94T_normal.jpg"
"benwimbushSCORD","40 Tetraplegic. Public Speaker OCR Chair Rider with #TeamRunflex sponsors  #BBangs All i aim2do is show my SCI has changed not ended my lifeHome of #20isplenty",20781,3361,18091,2840,"https://t.co/G6W98VaoPe","Ben Wimbush",2016-04-22 23:39:32,FALSE,FALSE,"benwimbushSCORD","Manchester, England","en","723657519382536192",108,FALSE,"http://pbs.twimg.com/profile_images/946231617151995906/mrf4xuwp_normal.jpg"
"BossierNow","Bossier City news from Bossier City neighbors.",175,44,3,98,"http://t.co/EzteuVzbLG","Bossier Now",2015-10-19 16:00:11,FALSE,FALSE,"BossierNow","Bossier City, LA","en","3948528020",0,FALSE,"http://pbs.twimg.com/profile_images/656871650449690624/DMlMHa4-_normal.jpg"
"SarahDa15849051","Seeking to raise awareness about sepsis & the loss of our son Dylan https://t.co/b63jh3QZLI",756,1325,4,8,"https://t.co/dWSNhIreTJ","Sarah Day",2018-02-03 23:12:29,FALSE,FALSE,"SarahDa15849051","uk ","en-gb","959927602445193219",9,FALSE,"http://pbs.twimg.com/profile_images/960087274024259584/jtPrvA73_normal.jpg"
"jmeyers94","my cheese pills, my cheese pills, my cheese pills, not your cheese pills Ì†ºÌæµ",5040,419,15226,418,NA,"Proudlicious",2011-04-03 04:47:28,FALSE,FALSE,"jmeyers94","Atlanta, GA","en","276340916",3,FALSE,"http://pbs.twimg.com/profile_images/872434657593352192/c1rZGQq6_normal.jpg"
"syifaslamiyah","",20280,1472,18,824,"https://t.co/hOGYqLm0PL","Syifa Aslamiyah",2011-05-26 03:34:04,FALSE,FALSE,"syifaslamiyah","Yogyakarta, Indonesia","id","305382628",0,FALSE,"http://pbs.twimg.com/profile_images/735123535903883268/hfHDUFm1_normal.jpg"
"DearAuntAbby","Sometimes funny sometimes not, sometimes I fart & joke about snot. Ì†ΩÌ≤ö https://t.co/OpCsCNbc5Z",55556,10151,78882,4621,"https://t.co/f7fqQUIA1o","AbbyDabbyDoo",2013-01-19 21:54:25,FALSE,FALSE,"DearAuntAbby","NJ","en","1104755540",226,FALSE,"http://pbs.twimg.com/profile_images/941533932507541504/OZeCIElP_normal.jpg"
"guiaturismo2","Hombre , maduro 63, culto  e inteligente, excelente sentido del humor.  Gu√≠a Bilingue de Turismo y Docente en ingl√©s y Espa√±ol.  Me encantan: viajes y turismo.,",9767,651,6834,4080,NA,"GUSTAVO PEREZ  E.",2012-12-01 04:52:40,FALSE,FALSE,"guiaturismo2","Bogot√°","es","981846482",15,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"_MissyMich","Angel GÌ†ΩÌ≤ô",2558,157,3251,332,NA,"Michelle Cervantes‚òÆÔ∏è",2010-04-20 19:40:46,FALSE,FALSE,"_MissyMich","","en","135253057",2,FALSE,"http://pbs.twimg.com/profile_images/969756408685080576/LJNCToC-_normal.jpg"
"InFamousFav","SnapC: thafavorite",80548,11484,25813,4039,NA,"Favorite",2009-05-10 18:56:41,FALSE,FALSE,"InFamousFav","California, USA","en","39093565",69,FALSE,"http://pbs.twimg.com/profile_images/971098865142194176/RBYNLWJo_normal.jpg"
"urielnf","a dreamer #AvantiPalestra #GoGunners",39903,408,25136,1657,NA,"Uriel ‚ìü",2009-09-21 01:32:46,FALSE,FALSE,"urielnf","Paran√°","pt","75927771",3,FALSE,"http://pbs.twimg.com/profile_images/943496766120452097/GL_JCHqO_normal.jpg"
"kimmietainment","Ì†ºÌ∑∫Ì†ºÌ∑∏ Disrupter living my #bucketlist year in Ì†ºÌ∑ÆÌ†ºÌ∑™ #Ireland. Going all in! #BHAGs #travel #creativity #mindset #coaching #lifelonglearning",3484,566,3101,887,NA,"Kim McGaw",2008-04-10 23:46:53,FALSE,FALSE,"kimmietainment","Ireland","en","14356511",56,FALSE,"http://pbs.twimg.com/profile_images/958110106960498689/wuiLjunN_normal.jpg"
"shawnbigby","Singer, writer, worship leader but above all that a Christian just trying to love Jesus the way He loves me! Booking info http://t.co/iMVoir6bk7",92934,7480,25,1372,"http://t.co/SaHQnagHn3","shawn bigby",2009-04-27 21:51:21,FALSE,FALSE,"shawnbigby","Anderson SC","en","35874071",48,FALSE,"http://pbs.twimg.com/profile_images/3664283479/cd011f3d839a843a79a1a6bbf0fd88ef_normal.jpeg"
"dansinker","I make stuff. Heads up @opennews, co-host of @sayswhopodcast, author of @MayorEmanuel, founder of Punk Planet magazine (RIP), #1 Candle King of Kickstarter.",95583,20509,30010,3415,"https://t.co/KfjG5DhmVG","dan sinker",2007-08-11 05:51:44,FALSE,FALSE,"dansinker","Chicago","en","8119452",1318,FALSE,"http://pbs.twimg.com/profile_images/552597001393561600/vhKa2xDz_normal.jpeg"
"PickPosts","",419686,90,0,47,"https://t.co/bTFkkBTPe0","PICK POSTS ",2015-02-16 08:31:14,FALSE,FALSE,"PickPosts","","en","3040347807",5,FALSE,"http://pbs.twimg.com/profile_images/567240937718300673/u3kQFTJE_normal.jpeg"
"marielmohns","aspiring polymath. geeky nerd. music maker. truth seeker...pipette wielding virus hunter by day, fledgling science writer by night, tea-fueled robot 24/7.",15698,836,9781,896,"https://t.co/XSkD7pMLzD","Mariel Mohns",2010-09-10 00:26:22,FALSE,FALSE,"marielmohns","Madison, WI","en","188954079",56,FALSE,"http://pbs.twimg.com/profile_images/732736754411704320/9jFC_GgA_normal.jpg"
"anartam","I'm interested in Law, Legal Theory and Fluminense. Interesso-me por Teoria do Direito e pelo Fluminense! Sigam-me os bons!",90111,1917,12409,2632,NA,"Ana Rosa Amorim",2009-01-31 19:05:25,FALSE,FALSE,"anartam","Brazil","en","19826665",37,FALSE,"http://pbs.twimg.com/profile_images/891350726609391617/PHuPUaWH_normal.jpg"
"TheTRUKiiiNG","The TRU KINGÌ†ΩÌ±ë",9469,387,14047,998,NA,"Ramiro Delgado",2012-08-27 03:34:54,FALSE,FALSE,"TheTRUKiiiNG","Los Angeles, CA","en","783722544",5,FALSE,"http://pbs.twimg.com/profile_images/968435143382740992/fkRs7k_B_normal.jpg"
"oznurarzuelif2","bi s√ºreliƒüine rt hesap


@oznurarzuelif",2102,300,3176,258,NA,"bayan sulug√∂z rt",2017-09-08 11:14:57,FALSE,FALSE,"oznurarzuelif2","T√ºrkiye","tr","906113624812523520",0,FALSE,"http://pbs.twimg.com/profile_images/967713537828237317/_f4Dbqeb_normal.jpg"
"DanETee80","Bardney Boys Brigade all time leading goal scorer. Designer, Dad, Husband & Spurs and Imps supporter.",1906,42,1053,208,NA,"Dan Tee",2016-03-31 15:27:40,FALSE,FALSE,"DanETee80","Potterhanworth, England","en-GB","715561203762860034",0,FALSE,"http://pbs.twimg.com/profile_images/969333402058059776/FMrz6StO_normal.jpg"
"PontoJuridico","",92957,303,0,638,NA,"Ponto Jur√≠dico",2011-03-04 20:13:02,FALSE,FALSE,"PontoJuridico","","en","260881256",6,FALSE,"http://pbs.twimg.com/profile_images/1262039379/juridico1_normal.jpg"
"Le_SoM","Mam'Tolo‚ô• | Unapologetic @Bonang_M lover!!! ‚ô• | Team Miley ‚ô• | Gemini‚ô• | Fanta Orange Lover! ‚ô• | #HikingWithiDaki @WithiDaki ‚ù§Ô∏è",76283,2881,3868,1064,"https://t.co/mTXu85zLrn","Leletu SomcizaÌ†æÌ∂Ñ",2010-06-08 12:32:47,FALSE,FALSE,"Le_SoM","Cape Town ‚ô•","en","153390303",11,FALSE,"http://pbs.twimg.com/profile_images/968448675910385665/mTkIPF_P_normal.jpg"
"CrosbyAinslee","‚Äúi‚Äôm not superstitious but i am a little stitious‚Äù",58,8,37,39,NA,"Ainslee Crosby",2017-10-02 00:32:46,FALSE,FALSE,"CrosbyAinslee","","en","914649322490392577",0,FALSE,"http://pbs.twimg.com/profile_images/937680214540382209/IwsT40m7_normal.jpg"
"Susan_Venables","Founder & director Highland Marketing, a marketing communications consultancy specialising in healthcare and healthcare IT. All views are my own.",6115,1314,1307,2481,"http://t.co/rQVkFcBDiu","Susan Venables",2009-08-01 16:44:24,FALSE,FALSE,"Susan_Venables","UK","en","62068952",250,FALSE,"http://pbs.twimg.com/profile_images/3388298536/7bd4b203bc0d018219e241f2a739c0e1_normal.jpeg"
"theylovepreis","IhoopÌ†ºÌøÄ",893,258,5308,269,NA,"Preis Ì†ΩÌ∫®",2015-08-14 18:26:08,FALSE,FALSE,"theylovepreis","","en","3315249108",0,FALSE,"http://pbs.twimg.com/profile_images/971048644567846912/Aharunhd_normal.jpg"
"leosilva_182","Engenharia Civil - UEMG Passos. O bem e o amor superam tudo Ì†ºÌæßÌ†ºÌæ∏Ì†ºÌøÑÌ†ºÌøª‚ù§Ô∏è",25495,335,2370,225,NA,"Leonardo Buarque",2012-09-28 15:42:21,FALSE,FALSE,"leosilva_182","Passos, Minas Gerais","pt","851286649",1,FALSE,"http://pbs.twimg.com/profile_images/961990571249360896/ElbLh2nm_normal.jpg"
"lowkiigaga","/ 21 yrs old / IT guy / music addicted / writer /",5480,950,4155,635,NA,"leslie",2012-01-26 12:02:30,FALSE,FALSE,"lowkiigaga","europe","hu","474842035",4,FALSE,"http://pbs.twimg.com/profile_images/970403045568860160/CZ_NL7nS_normal.jpg"
"Mickeyann15","",84,9,111,6,NA,"Mickeyann",2017-03-09 04:06:29,FALSE,FALSE,"Mickeyann15","Arcadia, LA","en","839688816919105536",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"and_sugoiwa","ELCAS 9th „ÉØ„ÇØ„ÉØ„ÇØËµ∑Ê•≠/",1539,159,1325,260,NA,"aÃ∑ÃïÃöÕ†ÕÇÕÄÕÑÃìÃîÃíÃ∞Ã±ÃóÕîÃ®ÕáÕâÃºÃ†ÃñÃ™nÃ¥ÃÖÃëÕíÃÑÃæÃáÕÑÃ∞ÕìÕçÕï",2015-11-24 13:05:33,FALSE,FALSE,"and_sugoiwa","","ja","4345200253",0,FALSE,"http://pbs.twimg.com/profile_images/783333634392530944/VNUz52qx_normal.jpg"
"JimCarr69216619","Retired network news photojournalist. Born and raised in Dallas. Supporting Donald Trump from day one.",4541,485,6645,621,NA,"Jim Carroll",2015-08-16 17:33:59,FALSE,FALSE,"JimCarr69216619","Texas","en","3317000376",1,FALSE,"http://pbs.twimg.com/profile_images/966760792363184128/YxB6QKhr_normal.jpg"
"kerblaa","I don't need to tell you that I love to have a good time. you already know.",13534,216,10658,177,"https://t.co/R2zD4vq9ym","kyra :(",2011-12-21 02:01:55,FALSE,FALSE,"kerblaa","richmond","en","442374163",2,FALSE,"http://pbs.twimg.com/profile_images/964579166992650241/FpCDTVmg_normal.jpg"
"lordrlap","Geek, apprentice wordsmith, amateur guitarist, wondering about the world.",6497,219,14349,339,"https://t.co/BRabbToicj","Ricardo",2009-08-05 19:19:08,FALSE,FALSE,"lordrlap","Leawood Ks","en","63226653",11,FALSE,"http://pbs.twimg.com/profile_images/708782752061988865/lQG3NSe__normal.jpg"
"PaulHewitt50","disabled avid govt hater and  feel the need to cause as much trouble for may and govt as i can tweets mean what they mean Ì†ΩÌµµÔ∏è",40670,1729,2430,1700,NA,"extremist and proud",2012-02-17 10:16:04,FALSE,FALSE,"PaulHewitt50","cheshire","en","494857694",32,FALSE,"http://pbs.twimg.com/profile_images/750940144732078080/0TLRCz5M_normal.jpg"
"NeelyFanForever","@BillNeelyNBC inspired journo and @CRY_UK supporter. Dream of working at #ITN. Tell me; I'll forget. Show me; I'll remember. Involve me; I will understand.‚òòÔ∏è‚úèÔ∏èÌ†ΩÌ≥π",78873,188,84,89,"https://t.co/LtpkAzyf4b","‚òòÔ∏èNeelyFanTee‚òòÔ∏è‚ù§Ô∏è",2011-04-02 01:03:52,FALSE,FALSE,"NeelyFanForever","East Garforth, England","en","275794318",40,FALSE,"http://pbs.twimg.com/profile_images/959401421484343297/m6vhfGCH_normal.jpg"
"AdLeahy1","23, UoS BA Geography. I tweet and retweet anything of interest following current world events.",15334,156,850,448,NA,"Ads",2013-02-19 10:18:51,FALSE,FALSE,"AdLeahy1","Rotherham, England","en","1196598426",17,FALSE,"http://pbs.twimg.com/profile_images/846001014020997120/Z4-Ziozi_normal.jpg"
"Lecyclingartist","sportsman,artist,generally all round good guy.Teaches monthly art workshops,Pencil/coloured pencil/graphite and multi media.Personalised/bespoke gifts.",6154,366,276,694,"http://t.co/J9QzdxILxD","john etheridge",2011-03-02 10:23:38,FALSE,FALSE,"Lecyclingartist","norwich","en","259664599",2,FALSE,"http://pbs.twimg.com/profile_images/461179436310601728/ZLRUnC6Q_normal.jpeg"
"rachaelstarke","Gospel ( Gender + technology + business.) 
I think things; I write to think better about them.
Snark addict in recovery.",10646,1310,17226,1144,"https://t.co/P2gHmWsnMw","Rachael (spelled like Denhollander) Starke",2009-01-16 02:29:21,FALSE,FALSE,"rachaelstarke","","en","19051003",23,FALSE,"http://pbs.twimg.com/profile_images/748422550615515137/P_4GoMOg_normal.jpg"
